BR,SUBJECTIVITY,POLARITY
"A Rua Ronald de Carvalho, em Copa, já se tornou um excelente point de boa gastronomia no Rio de Janeiro.",0.0,0.0
"A altura das mesas também é errada, muito baixa e vc tem que se curvar para comer.",1.0,-1.0
"A casa tinha poucos clientes (quarta-feira), bem climatizada, som bacana, numa vibe romântica.",1.0,1.0
"A comida do restaurante é bem gostosa, os pratos chegam rápido e o preço é bem acessível para um rodízio japonês no miolo da Vila Madalena (R$55,00 no jantar).Tudo e bem simples, não tem muitas invenções, mas é tudo feito muito bem.A única reclamação que tenho a fazer é com os garçons.",1.0,1.0
A comida é bem cuidada e farta.,1.0,1.0
"A maioria dos pratos é a base tilápia, mas eu recomendo o bacalhau com natas e purê de banana.",0.0,0.0
"A minha experiência no restaurante foi positiva, mas gostaria de fazer umas ressalvas!Fui na unidade da Av.",1.0,1.0
A noite a música é suave eacolhedora.,1.0,1.0
"A pizza é muito boa, todos os sabores que provamos estavam ótimos, o atendimento é muito bom, todos os garçons receptivos e simpáticos.",1.0,1.0
"A vista é fantástica.A comida e o atendimento eram excelentes, mas, caiu um pouco.Fui para almoço algumas vezes e café da manhã.Era melhor quando tinha almoço a la carte.",1.0,1.0
A área externa do restaurante era aconchegante e muito bonito.,1.0,1.0
"Achamos a decoração uma graça, mas demoramos um pouco a conhecê-la pq ao consultar sua nota aqui no trip vimos outras hamburguerias bem melhor avaliadas.",1.0,1.0
"Almoço com uma grande variedade de legumes e verduras, perfeito para quem esta de dieta e não pode sair do seu peso ideal.",1.0,1.0
"Além de fazer parte do clube do ""prato"".",0.0,0.0
"Além do serviço deixar a desejar, o atendimento é ruim.",1.0,-1.0
"Ambiente agradável, cerveja bastante gelada (ponto muito positivo).Petiscos muito bons.",1.0,1.0
"Ambiente agradável, garçons atenciosos, o melhor cupim de Goiânia.",1.0,1.0
Ambiente claro e minimalista.,0.0,0.0
Ambiente e atendimento excelente.,1.0,1.0
"Ambiente muito amplo, bonito e agradável!",1.0,1.0
Ambiente pequeno e agradável.,1.0,1.0
Aninhado numa área residencial.,0.0,0.0
Aos 45 do segundo tempo eis que este delivery nos salvou na noite de carnaval.,0.0,0.0
Aqui em salvador definitivamente é melhor ainda!,1.0,1.0
"As entradinhas estavam ótimas (destaque para Lula, marinado de tilapia e croquete de salmão).",1.0,1.0
Assim como o clericot.,0.0,0.0
